recipe_id,recipe_name,category,yield,yield_unit,ingredient_count,sub_recipes,station,menu_items,notes,pack_size
beer_batter,Beer Batter,prep,600,g,2,beer_flour,fry,Fish & Chips;Baja Tacos;Chicken Wings,PDF p21 — wet portion only (guinness + vodka); combine with beer_flour dry mix at service,
beer_flour,Beer Flour,prep,18,cup,3,,fry,Fish & Chips;Baja Tacos,PDF p21 — dry mix combined with beer_batter wet portion at service,
corndog_batter,Corndog Batter,prep,8,qt,7,,fry,catering corndogs,Buttermilk to right consistency,
chipotle_aioli,Chipotle Aioli,sauce,10,qt,3,,fry,Baja Fish Tacos,Adobo puree + lime,
alabama_white_sauce,Alabama White Sauce,sauce,1.5,gal,10,,fry,Pig Wings;wing option,PDF p26 — mayo + ACV base; dissolve brown sugar in ACV if solidified,
three_cheese_grilled_cheese,Three Cheese Grilled Cheese,entree,8,ea,10,,grill,Roasted Tomato Soup add-on,Cream cheese spread + garlic spread + cheddar/provolone,
thai_chili_sauce,Thai Chili Sauce,sauce,2,cup,5,,fry,wing option,Mae Ploy base + furikake,
pico_de_gallo,Pico de Gallo,prep,4,qt,8,,salad,Baja Fish Tacos,Made fresh daily,portion:0.5:qt
chicken_jus,Chicken Jus,sauce,5,qt,10,,fry;grill,Roasted Chicken Leg,Reduce by 1/3 approx 2 hours — strain through chinois,
tomatillo_salsa,Tomatillo Salsa,sauce,8,qt,11,,expo,catering;may use vendor green chile,Roast in salamander — blend with avocado,portion:0.5:qt
coleslaw,Coleslaw,prep,12,qt,12,,salad,Nashville Hot;Fish & Chips;Baja Tacos;BLT,Pickle relish + horseradish dressing — Hillstone style,
herbal_butter,Herbal Butter,prep,4,lb,5,,saute,Whole Roasted Trout,Parsley thyme rosemary tarragon compound butter,
honey_butter,Honey Butter,prep,4,lb,2,,expo,Jalapeño Cheddar Cornbread,1:3 honey to butter,
mexi_relish,Mexi Relish,prep,6,qt,3,chipotle_aioli,fry,Baja Fish Tacos (cabbage topping),Red cabbage + chipotle aioli,
chimichurri,Chimichurri,sauce,2,cup,6,,grill,grill items,WORKING RECIPE — please refine and record,
cobb_dressing,Cobb Dressing / Herb Bleu Cheese,dressing,4,qt,11,,salad,Cobb Salad,Blend half bleu cheese high — remaining on low,
lemon_thyme_vinaigrette,Lemon Thyme Vinaigrette,dressing,2,qt,10,,salad,salads (seasonal),Emulsify all ingredients,
black_bean_corn_succotash,Black Bean & Corn Succotash,prep,6,qt,13,,salad,The Rope Salad,Chill 1 hour before service,
pork_chop_marinade,Pork Chop Marinade,prep,1,gal,8,,saute,Pork Chop,PDF p41 — OJ + lime + cilantro base; the Southwestern Rye variant has been retired per official book,
honey_mustard,Honey Mustard,sauce,3,cup,5,,expo,dipping sauce,Honey + yellow mustard base,
rope_pickle,Rope Pickle,prep,4,qt,6,,grill,The Rope Burger,House-made pickles — heavy garlic,
qb_seasoning,QB Seasoning,seasoning,6,cup,5,,all,Quesa Birria Tacos,Chili powder + cumin + cinnamon + black pepper + whole cloves,g:0.01:cup
chicken_confit,Chicken Confit,prep,1,hotel pan,4,,fry;grill,Roasted Chicken Leg,French legs — confit in EVOO 225F 3hr,
birria,Birria,entree,16,qt,8,qb_seasoning,grill,Quesa Birria Tacos,PDF p46 — beef cheeks; braise 8-12hr at 225F fatty side up; strain consomme through chinois; birria_seasoning = qb_seasoning sub-recipe,portion:2:qt
pickles,Pickles,prep,4,qt,7,,grill,burgers,Sweet pickles — water + vinegar + sugar brine,
french_toast_batter,French Toast Batter,prep,2,qt,6,,grill,brunch,Eggs + milk + cinnamon + vanilla + nutmeg,
tomato_soup,Tomato Soup,soup,4,qt,10,,saute,Tomato Soup,Creamy tomato soup base — butter + onion + garlic + wine + stock + cream,
mesa_melt,Mesa Melt (Southwest Beer Cheese),sauce,4,cup,14,,saute,Mesa Melt,Roux + Modelo + cheddar + pepper jack + cream cheese + hatch chile + chipotle,
mexi_slaw,Mexi Slaw,side,5,lb,3,chipotle_aioli,garde,Fish Tacos;Birria add-ons,Red cabbage + chipotle aioli + lime,portion:1:lb
miso_honey,Miso Honey,sauce,3,cup,3,,saute,glaze,Inferred from PDF p37 (ingredient names dropped in source); whisk together,
marinara_sauce,Marinara Sauce,sauce,4,qt,4,,saute,Baked Ziti (BEO),Simple basil + thyme + garlic tomato base; sub-recipe for baked_ziti,
baked_ziti,Baked Ziti,entree,1,hotel pan,8,marinara_sauce,saute,Baked Ziti (BEO),Standard no-bake layered ziti — 1 hotel pan ≈ 24 portions,
mac_balls,Mac Balls,appetizer,60,ea,6,queso_mac_sauce,fry,Mac Balls (BEO),Fried mac-and-cheese balls — ditalini + colby jack; dredge flour / egg / panko,
mini_rellenos,Mini Rellenos,appetizer,1,case,1,,fry,Mini Rellenos (BEO),Whole-buy from Sysco (see purchase history for SKU + cost); fry from frozen,
caprese_skewers,Caprese Skewers,appetizer,50,ea,5,,garde,Caprese Skewers (BEO),Ciliegine + cherry tomato + basil + prosciutto on 6in bamboo skewer,
churros,Churros,dessert,1,case,1,,fry,Churros (BEO),Whole-buy from Sysco (see purchase history for SKU + cost); fry from frozen,
philo_bites,Philo Bites,appetizer,1,case,1,,fry,Philo Bites (BEO),Whole-buy from Sysco (see purchase history for SKU + cost); fry from frozen,
chocolate_cake,Chocolate Cake,dessert,1,ea,1,,expo,Chocolate Cake (BEO),Whole-buy — Shamrock CAKE CHOC FUDGY WUDGY 14SLI / Sysco Fudgy Wudgy 14ct; thaw + slice,
cupcakes,Cupcakes,dessert,1,case,1,,expo,Cupcakes (BEO),Vendor whole-buy — in scripts/beo_order_pull DEFAULT_WHOLE_BUY_EXACT,
tiramisu,Tiramisu,dessert,1,ea,1,,expo,Tiramisu (BEO),Vendor whole-buy — frozen; thaw + slice,
banana_cream_pudding,Banana Cream Pudding,dessert,12,portion,4,,expo,Banana Cream Pudding (BEO),Shamrock/Sysco pudding base + bananas + vanilla wafers + whipped cream,
crab_cake_remoulade,Crab Cake Remoulade,appetizer,24,ea,2,,fry,Crab Cake Remoulade (BEO),Whole-buy crab cakes + house or vendor remoulade,
tex_mex_egg_rolls,Tex Mex Egg Rolls,appetizer,50,ea,2,chipotle_aioli,fry,Tex Mex Egg Rolls (BEO),Vendor whole-buy frozen + chipotle_aioli dip,
corn_dogs,Corn Dogs,appetizer,50,ea,4,corndog_batter;honey_mustard,fry,Corn Dogs (BEO),Corndog batter + honey mustard,
artisanal_board,Artisanal Board,appetizer,20,portion,5,,garde,French / Italian / Spanish Artisanal Board (BEO),Vendor whole-buy composition — cheeses + cured meats + bread + fruit + olive,
deviled_eggs,Deviled Eggs,appetizer,48,ea,6,,garde,Deviled Eggs (BEO),Sysco hardboiled eggs + house seasoning (mayo/mustard/paprika) — refine to house formula,
pork_belly_bao_bun,Pork Belly Bao Bun,appetizer,30,ea,5,,saute,Pork Belly bao bun (BEO),Braised pork belly + hoisin/sesame + Sysco bao buns,
low_country_boil,Low Country Boil,buffet,12,portion,4,,saute,Low Country Boil (BEO),Shrimp + corn + red russet + Old Bay,
gazpacho,Gazpacho,soup,4,qt,14,,saute,Gazpacho (BEO),USDA MyPlate canonical — needs chef review for restaurant scale + seasoning,
chilled_corn_leek,Chilled Corn Leek,soup,4,qt,15,,saute,Chilled Corn Leek (BEO),USDA Corn Soup base + vichyssoise template — needs chef review,
italian_dinner,Italian Dinner,dinner,1,menu,7,baked_ziti;caprese_skewers;artisanal_board,expo,Italian Dinner (BEO),Wired to existing in-house sub-recipes — chef confirm cover counts + bread/salad,
mexican_dinner,Mexican Dinner,dinner,1,menu,10,birria;mexi_slaw;pico_de_gallo;tomatillo_salsa;mini_rellenos;spanish_rice;refried_black_beans,expo,Mexican Dinner (BEO),Wired to existing in-house sub-recipes plus USDA-default rice + beans — chef confirm tortilla counts,
spanish_rice,Spanish Rice,side,3,qt,9,,saute,Mexican Dinner (BEO),USDA MyPlate canonical (Spanish Rice / Mexican Rice II) — needs chef review for restaurant scale + seasoning,batch:3:qt
refried_black_beans,Refried Black Beans,side,3,qt,9,,saute,Mexican Dinner (BEO),USDA MyPlate canonical (Refried Beans + Black Beans) — needs chef review,batch:3:qt
beef_tenderloin_crostini,Beef Tenderloin Crostini,appetizer,50,ea,14,,grill;garde,Beef Tenderloin Crostini (BEO),In-house — seared tenderloin + crostini + horseradish cream + arugula,
tomato_confit,Tomato Confit,prep,1,pan,4,,saute,prep / dish garnish,In-house — 1/3 hotel pan 6-in deep; cherry tomatoes + thyme + 100g garlic + EVOO to cover,
green_salt,Green Salt,seasoning,1300,g,7,,prep,Roasted Chicken Leg,Blend with half the salt; dry under lamp; add remaining salt after dried,
roasted_chicken_leg,Roasted Chicken Leg,entree,1,case,6,green_salt,grill,Roasted Chicken Leg,Season redbird legs with green salt; roast w/ rosemary/thyme/garlic/olive oil,
roasted_root_veg,Roasted Root Veg,side,1,case,1,,saute,Roasted Root Veg (BEO),Whole-buy from Sysco (see purchase history for SKU + cost); heat and serve,
prime_rib,Prime Rib,protein,1,ea,1,,grill,Prime Rib Dinner;Prime Rib Sliders;Prime Rib Carving Station,Whole-buy prime rib roast (~12 portions); sous vide + carve,
breakfast_burrito,Breakfast Burrito,entree,1,each,1,,saute,Breakfast Burrito,Made Sunday AM (smaller tortillas) — stubbed order-by-each,
peach_cobbler,Peach Cobbler with Cheater Granola Crunch,dessert,60,portion,16,,expo,Peach Cobbler (BEO),60 × 4 oz portions — 2 full-size 2-in hotel pans (30 each). Bake filling covered 25-30 min 350F conv/375F conv; top with granola crunch; bake uncovered 12-16 min. Rest 20 min. #8 scoop. For buffet crunch: bake topping separately 325F 8-12 min and sprinkle at service.,
baja_fish_tacos,Baja Fish Tacos,entree,1,ea,8,fish_brine;beer_batter;chipotle_aioli;mexi_slaw;pico_de_gallo;aji_verde,fry;saute,Baja Fish Tacos,Plate BOM — winter menu MI-M07: battered/grilled catfish + aji + chipotle aioli + pico + mexi slaw,
carnitas,Carnitas,entree,4,hotel pan,14,,grill,Carnitas Taco;Carnitas Tacos Buffet (BEO),Slow-braised pork shoulder — dump-and-bake 325F 3.5-4hr foil-covered then shred in rendered fat; per-order broil-crisp on the line. Batch = 32 lb cubed pork -> 4 hotel pans; Phase A spice dry-mix,
